ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-0022,2024-01-05 19:23:36,Billing,Medium,Resolved,2.81,4.96,AGT-02,2,Invoice shows incorrect tax amount
TKT-0149,2024-01-05 20:33:57,Technical,Low,Open,4.5,,AGT-05,,Login fails with 500 error
TKT-0286,2024-01-05 23:28:13,General,Medium,Open,5.87,,AGT-12,,How to add a team member
TKT-0411,2024-01-05 23:32:26,Billing,Low,Escalated,5.38,,AGT-06,,Refund not received after cancellation
TKT-0372,2024-01-06 00:17:41,Technical,Critical,Resolved,0.89,19.39,AGT-01,4,API returns stale results after update
TKT-0397,2024-01-06 00:26:25,Billing,Medium,Escalated,1.85,,AGT-11,,Duplicate charge on monthly invoice
TKT-0417,2024-01-06 06:42:52,Technical,Critical,Open,5.32,,AGT-06,,API returns stale results after update
TKT-0076,2024-01-06 12:00:02,Technical,Low,Resolved,10.05,32.42,AGT-05,2,Data export times out on large accounts
TKT-0182,2024-01-06 13:01:24,General,Medium,Resolved,2.99,8.35,AGT-11,5,Question about plan limits
TKT-0191,2024-01-06 14:13:33,General,Low,Resolved,0.97,5.1,AGT-03,5,How to add a team member
TKT-0156,2024-01-06 15:02:50,Technical,High,Resolved,3.07,46.06,AGT-05,3,Data export times out on large accounts
TKT-0117,2024-01-06 19:37:34,Billing,Low,Resolved,3.89,16.59,AGT-04,4,Unable to update payment method
TKT-0243,2024-01-06 23:24:48,General,Low,Escalated,12.54,,AGT-07,,Request for onboarding session
TKT-0035,2024-01-07 01:01:58,General,Critical,Resolved,0.95,6.02,AGT-11,2,Clarification on data retention policy
TKT-0313,2024-01-07 05:26:53,General,Low,Resolved,1.59,14.13,AGT-03,4,Feature request: dark mode
TKT-0500,2024-01-07 05:59:30,General,Low,Resolved,3.87,4.37,AGT-08,4,Feature request: dark mode
TKT-0075,2024-01-07 07:50:44,Billing,Low,Open,2.63,,AGT-03,,Duplicate charge on monthly invoice
TKT-0485,2024-01-07 08:45:19,Technical,Low,Resolved,3.26,10.53,AGT-06,4,Webhook deliveries silently dropped
TKT-0317,2024-01-07 09:12:31,Technical,Low,Resolved,8.96,16.67,AGT-05,3,Dashboard charts fail to render
TKT-0001,2024-01-07 09:24:58,Technical,Medium,Escalated,4.74,,AGT-04,,Webhook deliveries silently dropped
TKT-0264,2024-01-07 09:37:13,Technical,High,Open,3.35,,AGT-06,,Dashboard charts fail to render
TKT-0403,2024-01-07 09:45:26,Billing,Medium,Open,1.34,,AGT-06,,Refund not received after cancellation
TKT-0158,2024-01-07 22:12:40,Technical,High,Resolved,2.64,15.72,AGT-01,1,Data export times out on large accounts
TKT-0132,2024-01-07 22:47:59,Technical,Medium,Resolved,7.69,22.71,AGT-08,5,Mobile app crashes on startup
TKT-0210,2024-01-08 02:43:52,General,Critical,Open,1.35,,AGT-03,,Feature request: dark mode
TKT-0081,2024-01-08 13:04:59,General,Medium,Resolved,2.84,4.66,AGT-03,2,Feature request: dark mode
TKT-0233,2024-01-08 15:39:55,Billing,High,Resolved,2.65,9.69,AGT-05,5,Invoice shows incorrect tax amount
TKT-0122,2024-01-08 23:37:54,Billing,Critical,Resolved,0.82,11.38,AGT-02,5,Duplicate charge on monthly invoice
TKT-0288,2024-01-09 00:35:10,General,Medium,Resolved,3.19,9.22,AGT-02,4,How to add a team member
TKT-0015,2024-01-09 06:25:56,General,Low,Open,2.18,,AGT-05,,Feature request: dark mode
TKT-0495,2024-01-09 14:48:14,Billing,Medium,Open,1.78,,AGT-12,,Promo code not applied at checkout
TKT-0487,2024-01-09 15:14:20,General,Critical,Resolved,0.32,6.92,AGT-06,5,How to add a team member
TKT-0462,2024-01-09 17:25:46,Technical,Critical,Escalated,3.07,,AGT-11,,Dashboard charts fail to render
TKT-0044,2024-01-09 18:24:22,Technical,Critical,Resolved,0.76,28.19,AGT-11,4,API returns stale results after update
TKT-0088,2024-01-10 03:23:27,Technical,Medium,Resolved,22.6,29.8,AGT-07,4,Login fails with 500 error
TKT-0358,2024-01-10 04:08:26,Technical,Critical,Resolved,1.11,45.19,AGT-01,5,Mobile app crashes on startup
TKT-0386,2024-01-10 07:52:48,General,Low,Resolved,5.78,6.28,AGT-03,4,Clarification on data retention policy
TKT-0437,2024-01-10 08:05:47,Billing,Medium,Resolved,4.93,12.35,AGT-03,5,Unable to update payment method
TKT-0450,2024-01-10 11:23:19,Technical,Critical,Resolved,4.42,25.67,AGT-06,4,Webhook deliveries silently dropped
TKT-0003,2024-01-10 12:09:41,Technical,Low,Open,6.67,,AGT-12,,Webhook deliveries silently dropped
TKT-0442,2024-01-10 15:59:14,Technical,Medium,Open,5.0,,AGT-01,,Webhook deliveries silently dropped
TKT-0106,2024-01-10 23:20:59,Technical,Low,Resolved,4.53,28.76,AGT-07,4,Mobile app crashes on startup
TKT-0341,2024-01-11 10:11:45,General,Low,Resolved,2.14,5.45,AGT-09,5,How to add a team member
TKT-0490,2024-01-11 11:14:55,General,Medium,Resolved,1.49,12.21,AGT-03,5,Question about plan limits
TKT-0329,2024-01-11 13:42:29,Billing,Low,Resolved,2.16,8.13,AGT-05,4,Subscription renewed despite cancellation
TKT-0200,2024-01-11 15:20:28,Technical,Low,Open,6.05,,AGT-10,,API returns stale results after update
TKT-0365,2024-01-11 19:10:20,General,Critical,Resolved,0.39,6.42,AGT-10,3,Request for onboarding session
TKT-0100,2024-01-11 23:52:09,Billing,High,Resolved,2.4,10.9,AGT-03,3,Promo code not applied at checkout
TKT-0289,2024-01-11 23:53:18,Technical,Low,Resolved,3.49,30.44,AGT-05,4,Data export times out on large accounts
TKT-0378,2024-01-12 02:55:18,Technical,Critical,Open,3.29,,AGT-04,,Webhook deliveries silently dropped
TKT-0125,2024-01-12 03:00:45,General,Low,Open,3.83,,AGT-06,,Feature request: dark mode
TKT-0274,2024-01-12 04:06:17,Billing,Medium,Resolved,1.91,19.9,AGT-04,3,Subscription renewed despite cancellation
TKT-0196,2024-01-12 04:15:50,Technical,Low,Open,5.38,,AGT-11,,Data export times out on large accounts
TKT-0379,2024-01-12 11:41:48,Technical,Medium,Resolved,33.02,25.18,AGT-05,4,Webhook deliveries silently dropped
TKT-0199,2024-01-12 11:51:22,Technical,Low,Resolved,4.59,55.64,AGT-01,5,SSO redirect loop after password reset
TKT-0228,2024-01-12 13:32:33,Technical,Medium,Escalated,2.56,,AGT-10,,Dashboard charts fail to render
TKT-0136,2024-01-12 14:18:16,Technical,High,Resolved,3.4,8.21,AGT-06,1,Data export times out on large accounts
TKT-0056,2024-01-12 14:48:05,Technical,Medium,Resolved,3.33,33.6,AGT-04,2,API returns stale results after update
TKT-0300,2024-01-13 01:00:50,Technical,Low,Resolved,6.72,46.42,AGT-12,5,Data export times out on large accounts
TKT-0373,2024-01-13 05:08:46,Billing,Low,Resolved,3.79,6.05,AGT-07,2,Subscription renewed despite cancellation
TKT-0285,2024-01-13 08:42:23,Technical,Low,Resolved,5.13,18.74,AGT-10,1,Data export times out on large accounts
TKT-0354,2024-01-13 11:21:47,Technical,Critical,Open,1.38,,AGT-04,,SSO redirect loop after password reset
TKT-0102,2024-01-13 13:08:09,Technical,Low,Resolved,2.93,33.9,AGT-12,4,Mobile app crashes on startup
TKT-0355,2024-01-13 16:18:34,Technical,Medium,Resolved,4.35,10.58,AGT-01,4,Webhook deliveries silently dropped
TKT-0138,2024-01-13 17:02:49,General,Low,Open,7.61,,AGT-09,,Clarification on data retention policy
TKT-0423,2024-01-13 17:04:37,General,Low,Resolved,2.08,4.17,AGT-08,1,Request for onboarding session
TKT-0486,2024-01-14 01:08:20,Technical,Medium,Escalated,2.22,,AGT-12,,Mobile app crashes on startup
TKT-0359,2024-01-14 04:15:35,Technical,Medium,Resolved,3.56,9.7,AGT-12,3,Webhook deliveries silently dropped
TKT-0165,2024-01-14 09:05:42,General,Medium,Resolved,1.35,5.44,AGT-08,5,Question about plan limits
TKT-0284,2024-01-14 11:52:20,Technical,Critical,Resolved,3.58,34.39,AGT-08,4,Webhook deliveries silently dropped
TKT-0446,2024-01-14 14:25:59,Billing,Medium,Resolved,1.89,7.49,AGT-06,4,Refund not received after cancellation
TKT-0431,2024-01-14 17:10:58,Technical,Low,Escalated,17.16,,AGT-01,,Login fails with 500 error
TKT-0143,2024-01-14 21:11:28,Technical,Medium,Resolved,3.09,18.96,AGT-07,4,API returns stale results after update
TKT-0085,2024-01-14 23:41:23,General,Low,Resolved,3.11,3.65,AGT-11,5,Feature request: dark mode
TKT-0256,2024-01-15 13:58:10,General,High,Resolved,1.37,9.33,AGT-09,3,Feature request: dark mode
TKT-0457,2024-01-15 14:21:39,Technical,Low,Resolved,13.56,49.57,AGT-03,1,Dashboard charts fail to render
TKT-0027,2024-01-15 17:19:29,Billing,High,Resolved,1.11,11.82,AGT-09,2,Subscription renewed despite cancellation
TKT-0362,2024-01-16 03:46:02,General,Low,Escalated,3.51,,AGT-05,,Question about plan limits
TKT-0217,2024-01-16 07:32:47,Technical,Medium,Open,9.13,,AGT-04,,API returns stale results after update
TKT-0467,2024-01-16 15:18:35,Billing,High,Resolved,2.26,5.33,AGT-04,5,Refund not received after cancellation
TKT-0458,2024-01-16 15:33:08,Billing,Low,Resolved,4.39,4.89,AGT-07,4,Subscription renewed despite cancellation
TKT-0206,2024-01-16 23:54:21,General,Medium,Resolved,1.29,5.75,AGT-06,2,Feature request: dark mode
TKT-0164,2024-01-17 02:29:45,Billing,High,Resolved,1.31,4.66,AGT-06,3,Promo code not applied at checkout
TKT-0227,2024-01-17 10:16:40,Technical,Medium,Resolved,4.42,13.42,AGT-06,5,SSO redirect loop after password reset
TKT-0401,2024-01-17 13:44:31,Billing,Critical,Open,0.53,,AGT-09,,Refund not received after cancellation
TKT-0064,2024-01-18 00:29:49,Technical,Medium,Resolved,3.49,40.99,AGT-10,3,Dashboard charts fail to render
TKT-0118,2024-01-18 01:48:34,Billing,Low,Open,4.76,,AGT-12,,Unable to update payment method
TKT-0176,2024-01-18 04:38:51,Technical,Low,Resolved,12.04,20.25,AGT-08,5,SSO redirect loop after password reset
TKT-0470,2024-01-18 08:36:50,Technical,Low,Escalated,8.36,,AGT-03,,SSO redirect loop after password reset
TKT-0268,2024-01-18 11:12:47,Billing,Medium,Resolved,6.34,6.84,AGT-04,1,Promo code not applied at checkout
TKT-0301,2024-01-18 19:16:45,General,Medium,Resolved,1.81,5.42,AGT-08,2,Clarification on data retention policy
TKT-0192,2024-01-19 02:12:54,Billing,High,Open,1.71,,AGT-12,,Promo code not applied at checkout
TKT-0405,2024-01-19 11:20:20,Technical,Medium,Open,0.99,,AGT-05,,Webhook deliveries silently dropped
TKT-0302,2024-01-19 11:47:02,Billing,Low,Open,4.29,,AGT-11,,Subscription renewed despite cancellation
TKT-0310,2024-01-19 14:14:04,Billing,Low,Resolved,6.08,20.21,AGT-08,5,Subscription renewed despite cancellation
TKT-0073,2024-01-19 15:30:39,Technical,Medium,Open,5.08,,AGT-08,,Mobile app crashes on startup
TKT-0016,2024-01-19 20:50:20,Technical,Medium,Resolved,3.22,125.39,AGT-09,4,Login fails with 500 error
TKT-0434,2024-01-19 22:20:54,General,Low,Resolved,3.19,5.95,AGT-10,5,Request for onboarding session
TKT-0098,2024-01-20 00:30:35,Technical,Medium,Resolved,5.92,29.49,AGT-11,3,Data export times out on large accounts
TKT-0367,2024-01-20 01:24:13,General,High,Resolved,1.49,5.35,AGT-08,5,How to add a team member
TKT-0360,2024-01-20 05:11:00,Billing,Low,Resolved,3.28,9.51,AGT-08,1,Duplicate charge on monthly invoice
TKT-0339,2024-01-20 11:21:13,Technical,Low,Resolved,5.45,18.36,AGT-08,4,Webhook deliveries silently dropped
TKT-0387,2024-01-20 13:56:55,Technical,Medium,Resolved,1.54,40.52,AGT-02,5,SSO redirect loop after password reset
TKT-0246,2024-01-20 17:37:53,General,Low,Open,3.01,,AGT-11,,How to add a team member
TKT-0306,2024-01-20 19:16:34,General,Medium,Resolved,1.58,10.78,AGT-10,5,Question about plan limits
TKT-0193,2024-01-20 21:14:17,Billing,High,Resolved,0.84,8.99,AGT-04,5,Unable to update payment method
TKT-0477,2024-01-20 22:06:52,Technical,Medium,Resolved,3.94,28.45,AGT-07,5,Mobile app crashes on startup
TKT-0332,2024-01-21 05:09:02,Billing,Medium,Resolved,2.34,8.84,AGT-06,5,Unable to update payment method
TKT-0364,2024-01-21 14:48:51,Technical,High,Open,1.37,,AGT-03,,Dashboard charts fail to render
TKT-0072,2024-01-21 17:23:21,General,Critical,Resolved,0.85,4.12,AGT-07,5,How to add a team member
TKT-0180,2024-01-21 21:33:58,Technical,Critical,Resolved,0.9,22.31,AGT-04,3,Dashboard charts fail to render
TKT-0065,2024-01-22 00:34:31,Billing,Low,Escalated,2.82,,AGT-12,,Invoice shows incorrect tax amount
TKT-0281,2024-01-22 01:55:02,Billing,High,Resolved,1.16,10.38,AGT-12,3,Unable to update payment method
TKT-0189,2024-01-22 03:29:19,Technical,Medium,Resolved,5.36,15.32,AGT-01,5,Login fails with 500 error
TKT-0481,2024-01-22 03:50:40,Technical,High,Resolved,1.45,27.69,AGT-02,5,API returns stale results after update
TKT-0037,2024-01-22 04:05:31,Technical,High,Escalated,4.82,,AGT-06,,Dashboard charts fail to render
TKT-0456,2024-01-22 04:25:19,Technical,High,Resolved,2.17,9.88,AGT-06,4,Dashboard charts fail to render
TKT-0159,2024-01-22 07:00:01,General,Medium,Resolved,2.06,3.05,AGT-06,4,Question about plan limits
TKT-0488,2024-01-22 08:10:02,General,Medium,Resolved,1.4,8.89,AGT-03,5,Clarification on data retention policy
TKT-0116,2024-01-22 15:11:59,Billing,Medium,Resolved,7.22,7.72,AGT-05,3,Duplicate charge on monthly invoice
TKT-0419,2024-01-22 15:41:18,Technical,Medium,Resolved,2.9,12.43,AGT-04,2,Mobile app crashes on startup
TKT-0473,2024-01-23 01:33:13,General,Critical,Resolved,0.44,3.07,AGT-01,4,Question about plan limits
TKT-0198,2024-01-23 11:28:10,Billing,Critical,Resolved,0.29,7.87,AGT-12,5,Duplicate charge on monthly invoice
TKT-0059,2024-01-23 11:36:00,Billing,Low,Resolved,4.08,9.34,AGT-12,2,Invoice shows incorrect tax amount
TKT-0094,2024-01-23 12:35:40,General,High,Resolved,1.18,7.08,AGT-11,5,Question about plan limits
TKT-0110,2024-01-23 15:09:14,Technical,Low,Resolved,7.32,53.79,AGT-09,3,Webhook deliveries silently dropped
TKT-0091,2024-01-23 15:14:14,Technical,Medium,Resolved,11.65,20.52,AGT-12,5,Login fails with 500 error
TKT-0293,2024-01-23 16:29:58,General,Low,Open,1.61,,AGT-01,,How to add a team member
TKT-0482,2024-01-24 00:17:20,General,Medium,Resolved,1.03,4.53,AGT-04,3,Question about plan limits
TKT-0406,2024-01-24 06:49:03,Technical,Critical,Resolved,1.23,18.85,AGT-06,5,Login fails with 500 error
TKT-0325,2024-01-24 06:59:19,General,High,Resolved,0.94,2.26,AGT-09,5,Request for onboarding session
TKT-0216,2024-01-24 16:52:54,Technical,Low,Escalated,7.16,,AGT-10,,Login fails with 500 error
TKT-0115,2024-01-24 17:24:45,Technical,Medium,Resolved,2.16,53.13,AGT-06,3,Dashboard charts fail to render
TKT-0031,2024-01-24 21:49:49,Billing,Critical,Resolved,0.2,7.82,AGT-08,4,Invoice shows incorrect tax amount
TKT-0338,2024-01-25 07:31:30,Technical,Low,Escalated,5.7,,AGT-06,,Mobile app crashes on startup
TKT-0314,2024-01-25 09:18:03,Technical,Critical,Escalated,0.39,,AGT-03,,Login fails with 500 error
TKT-0021,2024-01-25 11:29:33,Technical,Low,Resolved,5.33,17.4,AGT-08,2,Webhook deliveries silently dropped
TKT-0436,2024-01-25 23:43:55,Billing,Critical,Resolved,0.74,7.66,AGT-08,4,Duplicate charge on monthly invoice
TKT-0121,2024-01-26 02:13:32,Technical,Medium,Resolved,5.24,28.61,AGT-09,5,Mobile app crashes on startup
TKT-0215,2024-01-26 09:19:59,Technical,Critical,Resolved,0.69,18.91,AGT-07,1,Webhook deliveries silently dropped
TKT-0219,2024-01-26 12:36:00,Technical,Medium,Resolved,2.6,33.4,AGT-03,5,API returns stale results after update
TKT-0452,2024-01-26 13:03:20,Billing,Medium,Resolved,3.65,24.32,AGT-06,1,Promo code not applied at checkout
TKT-0099,2024-01-26 13:57:35,Technical,Medium,Resolved,3.39,60.54,AGT-06,3,Data export times out on large accounts
TKT-0084,2024-01-26 16:33:21,Technical,Medium,Resolved,5.33,16.32,AGT-05,5,Webhook deliveries silently dropped
TKT-0078,2024-01-27 03:15:59,Technical,Medium,Open,2.1,,AGT-12,,Login fails with 500 error
TKT-0426,2024-01-27 04:58:31,General,Medium,Resolved,0.86,5.04,AGT-06,4,How to add a team member
TKT-0430,2024-01-27 08:00:12,Technical,High,Resolved,1.36,22.14,AGT-05,4,Dashboard charts fail to render
TKT-0205,2024-01-27 13:16:40,Technical,High,Open,2.6,,AGT-09,,API returns stale results after update
TKT-0279,2024-01-27 13:29:04,General,High,Escalated,3.43,,AGT-10,,How to add a team member
TKT-0475,2024-01-27 20:30:59,General,Low,Open,4.49,,AGT-08,,How to add a team member
TKT-0036,2024-01-27 21:09:50,Billing,Medium,Open,2.43,,AGT-01,,Invoice shows incorrect tax amount
TKT-0119,2024-01-28 08:26:35,Billing,Medium,Open,3.3,,AGT-08,,Unable to update payment method
TKT-0187,2024-01-28 09:21:32,Billing,High,Resolved,2.67,8.68,AGT-04,5,Invoice shows incorrect tax amount
TKT-0002,2024-01-28 15:34:18,General,High,Escalated,1.42,,AGT-07,,Question about plan limits
TKT-0327,2024-01-28 20:20:03,Billing,Low,Open,6.39,,AGT-10,,Unable to update payment method
TKT-0124,2024-01-28 21:24:51,General,Medium,Resolved,1.1,12.14,AGT-09,5,Question about plan limits
TKT-0225,2024-01-28 22:15:56,Technical,High,Resolved,2.24,15.22,AGT-11,4,Webhook deliveries silently dropped
TKT-0464,2024-01-29 02:57:48,Billing,Critical,Resolved,0.67,6.44,AGT-07,2,Subscription renewed despite cancellation
TKT-0493,2024-01-29 03:09:33,General,Low,Open,6.91,,AGT-11,,Request for onboarding session
TKT-0186,2024-01-29 08:33:20,Billing,Medium,Open,1.11,,AGT-03,,Refund not received after cancellation
TKT-0231,2024-01-29 16:27:38,Technical,High,Open,1.03,,AGT-12,,Data export times out on large accounts
TKT-0161,2024-01-29 18:54:12,Technical,Medium,Resolved,4.24,22.75,AGT-09,4,API returns stale results after update
TKT-0383,2024-01-29 19:23:31,Technical,Medium,Resolved,4.11,22.7,AGT-10,4,Mobile app crashes on startup
TKT-0128,2024-01-29 20:25:42,Billing,Low,Open,7.29,,AGT-11,,Subscription renewed despite cancellation
TKT-0063,2024-01-29 23:26:16,Billing,Medium,Resolved,7.02,7.52,AGT-09,2,Promo code not applied at checkout
TKT-0489,2024-01-30 01:23:44,Billing,Medium,Escalated,6.11,,AGT-08,,Promo code not applied at checkout
TKT-0194,2024-01-30 02:05:00,Technical,Low,Resolved,7.68,16.93,AGT-11,5,Webhook deliveries silently dropped
TKT-0499,2024-01-30 02:17:15,General,Medium,Resolved,1.36,9.17,AGT-05,5,Clarification on data retention policy
TKT-0425,2024-01-30 04:34:27,Billing,Medium,Open,8.46,,AGT-05,,Subscription renewed despite cancellation
TKT-0151,2024-01-30 09:16:47,Billing,Low,Escalated,2.55,,AGT-05,,Unable to update payment method
TKT-0273,2024-01-30 19:34:49,Billing,Medium,Resolved,2.33,3.73,AGT-07,5,Unable to update payment method
TKT-0463,2024-01-30 20:09:59,Technical,Low,Escalated,5.41,,AGT-01,,Data export times out on large accounts
TKT-0092,2024-01-30 20:47:32,Technical,Low,Open,6.18,,AGT-01,,Mobile app crashes on startup
TKT-0068,2024-01-31 01:45:41,Billing,Low,Resolved,0.89,6.26,AGT-12,2,Invoice shows incorrect tax amount
TKT-0479,2024-01-31 04:57:41,General,Medium,Resolved,1.57,3.59,AGT-04,5,Feature request: dark mode
TKT-0241,2024-01-31 09:32:07,Technical,Medium,Escalated,3.38,,AGT-05,,API returns stale results after update
TKT-0221,2024-01-31 16:17:35,Technical,Critical,Resolved,1.2,29.52,AGT-09,4,SSO redirect loop after password reset
TKT-0207,2024-01-31 19:52:42,Technical,Medium,Resolved,2.62,6.53,AGT-03,5,API returns stale results after update
TKT-0366,2024-01-31 20:18:41,Billing,Medium,Resolved,3.27,4.68,AGT-08,5,Subscription renewed despite cancellation
TKT-0024,2024-01-31 23:33:45,Billing,Critical,Resolved,0.38,10.85,AGT-04,1,Duplicate charge on monthly invoice
TKT-0369,2024-02-01 03:06:46,Technical,Critical,Resolved,4.48,20.0,AGT-10,3,API returns stale results after update
TKT-0238,2024-02-01 06:19:04,Technical,Medium,Resolved,1.85,8.94,AGT-05,5,SSO redirect loop after password reset
TKT-0320,2024-02-01 09:49:28,Technical,Low,Resolved,12.48,14.09,AGT-10,5,Login fails with 500 error
TKT-0309,2024-02-01 14:02:05,Billing,High,Escalated,1.13,,AGT-07,,Invoice shows incorrect tax amount
TKT-0424,2024-02-01 17:11:33,General,Low,Resolved,3.5,7.39,AGT-03,4,Feature request: dark mode
TKT-0448,2024-02-01 21:09:21,Technical,Medium,Resolved,2.56,8.97,AGT-09,3,Webhook deliveries silently dropped
TKT-0133,2024-02-01 21:43:33,Technical,High,Resolved,1.12,23.28,AGT-03,5,Dashboard charts fail to render
TKT-0093,2024-02-01 23:05:04,General,Medium,Open,2.2,,AGT-04,,How to add a team member
TKT-0166,2024-02-02 01:26:58,Technical,Medium,Open,35.21,,AGT-10,,SSO redirect loop after password reset
TKT-0130,2024-02-02 02:59:50,Billing,Low,Resolved,2.13,3.32,AGT-07,5,Duplicate charge on monthly invoice
TKT-0009,2024-02-02 06:56:48,Billing,Low,Resolved,4.47,4.97,AGT-10,2,Refund not received after cancellation
TKT-0048,2024-02-02 10:56:20,Technical,High,Resolved,2.89,50.14,AGT-01,5,API returns stale results after update
TKT-0265,2024-02-02 12:35:14,Technical,Critical,Open,1.78,,AGT-02,,Dashboard charts fail to render
TKT-0420,2024-02-02 12:57:06,Technical,High,Open,2.13,,AGT-01,,Mobile app crashes on startup
TKT-0096,2024-02-02 13:30:36,Technical,Critical,Resolved,3.08,21.11,AGT-06,2,Data export times out on large accounts
TKT-0172,2024-02-02 16:07:46,Technical,Low,Resolved,3.78,10.48,AGT-01,2,Data export times out on large accounts
TKT-0326,2024-02-02 21:58:58,General,Low,Resolved,4.73,5.23,AGT-06,5,Request for onboarding session
TKT-0371,2024-02-03 01:24:32,Billing,Medium,Escalated,4.14,,AGT-08,,Duplicate charge on monthly invoice
TKT-0297,2024-02-03 09:08:42,Technical,Medium,Resolved,2.2,132.63,AGT-12,1,Webhook deliveries silently dropped
TKT-0254,2024-02-03 15:31:12,Billing,Medium,Open,2.86,,AGT-04,,Subscription renewed despite cancellation
TKT-0077,2024-02-03 16:55:18,General,Low,Open,4.35,,AGT-04,,Request for onboarding session
TKT-0343,2024-02-03 16:59:21,Billing,Medium,Open,2.39,,AGT-08,,Subscription renewed despite cancellation
TKT-0169,2024-02-03 19:34:38,Billing,High,Resolved,0.75,15.46,AGT-05,1,Unable to update payment method
TKT-0447,2024-02-03 23:37:41,Technical,Low,Escalated,6.44,,AGT-02,,Mobile app crashes on startup
TKT-0335,2024-02-04 00:48:23,Billing,Low,Resolved,2.14,11.28,AGT-03,4,Subscription renewed despite cancellation
TKT-0131,2024-02-04 13:24:46,Billing,Medium,Resolved,1.89,10.12,AGT-05,5,Unable to update payment method
TKT-0212,2024-02-04 23:45:01,Technical,High,Escalated,2.3,,AGT-05,,Data export times out on large accounts
